Ticker,Type,Exchange,Expiration Date,Multiplier,Base currency ,Symbol,Quote currency
PSP,STK,SMART,,,USD,,
BKLN,STK,SMART,,,USD,,
DEF,STK,SMART,,,USD,,
SMH,STK,SMART,,,USD,,
IWO,STK,SMART,,,USD,,
TQQQ,STK,SMART,,,USD,,
IWM,STK,SMART,,,USD,,
XLK,STK,SMART,,,USD,,
XRT,STK,SMART,,,USD,,
XLRE,STK,SMART,,,USD,,
XLC,STK,SMART,,,USD,,
VNQ,STK,SMART,,,USD,,
IGV,STK,SMART,,,USD,,
QQQ,STK,SMART,,,USD,,
IYT,STK,SMART,,,USD,,
IJR,STK,SMART,,,USD,,
IWF,STK,SMART,,,USD,,
SPHB,STK,SMART,,,USD,,
MTUM,STK,SMART,,,USD,,
IWN,STK,SMART,,,USD,,
IWB,STK,SMART,,,USD,,
IWV,STK,SMART,,,USD,,
SPY,STK,SMART,,,USD,,
XLV,STK,SMART,,,USD,,
XLI,STK,SMART,,,USD,,
IWD,STK,SMART,,,USD,,
SPLV,STK,SMART,,,USD,,
REM,STK,SMART,,,USD,,
ITB,STK,SMART,,,USD,,
XLF,STK,SMART,,,USD,,
XLB,STK,SMART,,,USD,,
XLY,STK,SMART,,,USD,,
XLP,STK,SMART,,,USD,,
XLE,STK,SMART,,,USD,,
XLU,STK,SMART,,,USD,,
KRE,STK,SMART,,,USD,,
KRWUSD,CASH,IDEALPRO,,,KRW,,USD
EURGBP,CASH,IDEALPRO,,,EUR,,GBP
USDCAD,CASH,IDEALPRO,,,USD,,CAD
EURUSD,CASH,IDEALPRO,,,EUR,,USD
NZDUSD,CASH,IDEALPRO,,,NZD,,USD
USDCNH,CASH,IDEALPRO,,,USD,,CNH
USDHKD,CASH,IDEALPRO,,,USD,,HKD
USDMXN,CASH,IDEALPRO,,,USD,,MXN
USDCHF,CASH,IDEALPRO,,,USD,,CHF
AUDUSD,CASH,IDEALPRO,,,AUD,,USD
GBPUSD,CASH,IDEALPRO,,,GBP,,USD
USDJPY,CASH,IDEALPRO,,,USD,,JPY
USDSEK,CASH,IDEALPRO,,,USD,,SEK
GC,FUT,NYMEX,202106,100,USD,,
BRR,FUT,CMECRYPTO,202104,5,USD,BTCJ1,
FXE,STK,SMART,,,USD,,
FXA,STK,SMART,,,USD,,
UUP,STK,SMART,,,USD,,
FXF,STK,SMART,,,USD,,
FXB,STK,SMART,,,USD,,
FXC,STK,SMART,,,USD,,
FXY,STK,SMART,,,USD,,
MGC,FUT,NYMEX,202106,10,USD,,
M6E,FUT,GLOBEX,202106,12500,USD,,
MJY,FUT,GLOBEX,202106,1250000,USD,,
MSF,FUT,GLOBEX,202106,12500,USD,,
M6A,FUT,GLOBEX,202106,10000,USD,,
M6B,FUT,GLOBEX,202106,6250,USD,,
MCD,FUT,GLOBEX,202106,10000,USD,,
ZT,FUT,ECBOT,202106,2000,USD,,
JGB,FUT,OSE.JPN,202106,1000000,USD,,
ZN,FUT,ECBOT,202106,1000,USD,,
ZF,FUT,ECBOT,202106,1000,USD,,
ZB,FUT,ECBOT,202106,1000,USD,,
ZQ,FUT,ECBOT,202104,4167,USD,,
ZQ,FUT,ECBOT,202105,4167,USD,,
GE,FUT,GLOBEX,202106,2500,USD,,
TNX,IND,CBOE,,,USD,,
TYX,IND,CBOE,,,USD,,
FVX,IND,CBOE,,,USD,,
IRX,IND,CBOE,,,USD,,
IEF,STK,SMART,,,USD,,
SHY,STK,SMART,,,USD,,
ISTB,STK,SMART,,,USD,,
TIP,STK,SMART,,,USD,,
LQD,STK,SMART,,,USD,,
IVOL,STK,SMART,,,USD,,
ANGL,STK,SMART,,,USD,,
IGOV,STK,SMART,,,USD,,
HYG,STK,SMART,,,USD,,
JNK,STK,SMART,,,USD,,
EMB,STK,SMART,,,USD,,
EMLC,STK,SMART,,,USD,,
TLT,STK,SMART,,,USD,,
EDV,STK,SMART,,,USD,,
SPX,IND,CBOE,,,USD,SPX,
MYM,FUT,ECBOT,202106,0.5,USD,,
MESM1,FUT,GLOBEX,202106,5,USD,,
M2K,FUT,GLOBEX,202106,5,USD,,
MNQ,FUT,GLOBEX,202106,2,USD,,
VXXLE,IND,CBOE,,,USD,,
UVXY,STK,SMART,,,USD,,
VXAPL,IND,CBOE,,,USD,,
VXN,IND,CBOE,,,USD,,
VIX,IND,CBOE,,,USD,,
VVIX,IND,CBOE,,,USD,,
RVX,IND,CBOE,,,USD,,
VXSLV,IND,CBOE,,,USD,,
GVZ,IND,CBOE,,,USD,,
OVX,IND,CBOE,,,USD,,
JYVIX,IND,CBOE,,,USD,,
TYVIX,IND,CBOE,,,USD,,
RRC,STK,SMART,,,USD,,
CPER,STK,SMART,,,USD,,
GUSH,STK,SMART,,,USD,,
DBB,STK,SMART,,,USD,,
NIB,STK,SMART,,,USD,,
URA,STK,SMART,,,USD,,
GLD,STK,SMART,,,USD,,
COW,STK,SMART,,,USD,,
SLV,STK,SMART,,,USD,,
NUGT,STK,SMART,,,USD,,
PSLV,STK,SMART,,,USD,,
OD7B,STK,SMART,,,USD,,
GDX,STK,SMART,,,USD,,
GDXJ,STK,SMART,,,USD,,
BNO,STK,SMART,,,USD,,
USO,STK,SMART,,,USD,,
DBA,STK,SMART,,,USD,,
WOOD,STK,SMART,,,USD,,
SOYB,STK,SMART,,,USD,,
UNG,STK,SMART,,,USD,,
PALL,STK,SMART,,,USD,,
ARGT,STK,SMART,,,USD,,
CHIQ,STK,SMART,,,USD,,
EEM,STK,SMART,,,USD,,
EPOL,STK,SMART,,,USD,,
EWA,STK,SMART,,,USD,,
EWC,STK,SMART,,,USD,,
EWG,STK,SMART,,,USD,,
EWH,STK,SMART,,,USD,,
EWI,STK,SMART,,,USD,,
EWJ,STK,SMART,,,USD,,
EWK,STK,SMART,,,USD,,
EWN,STK,SMART,,,USD,,
